City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Kutum,SD,2021-05-31 16:11:30,14.2,24.6667,89.22,23,55,13.11,broken clouds
170,Mahebourg,MU,2021-05-31 16:12:04,-20.4081,57.7,73.26,72,0,10.2,clear sky
171,Maneadero,MX,2021-05-31 16:08:44,31.7167,-116.5667,61.2,82,44,1.99,scattered clouds
172,Hohhot,CN,2021-05-31 16:12:50,40.8106,111.6522,55.69,35,0,6.35,clear sky
173,Karratha,AU,2021-05-31 16:15:00,-20.7377,116.8463,69.71,47,100,14.32,overcast clouds
174,Rudnyy,KZ,2021-05-31 16:15:01,52.9594,63.1206,63.21,65,6,16.33,clear sky
175,Zhanaozen,KZ,2021-05-31 16:15:01,43.3,52.8,80.58,31,0,16.93,clear sky
176,Gravdal,NO,2021-05-31 16:15:01,68.1214,13.5031,49.89,76,75,9.22,broken clouds
177,Iskateley,RU,2021-05-31 16:15:11,67.6803,53.1512,42.19,85,100,15.08,overcast clouds
178,Saldanha,ZA,2021-05-31 16:12:25,-33.0117,17.9442,59.05,76,9,9.31,clear sky
179,Tuktoyaktuk,CA,2021-05-31 16:11:42,69.4541,-133.0374,31.51,83,87,15.17,overcast clouds
180,Sungaipenuh,ID,2021-05-31 16:15:12,-2.0833,101.3833,66.49,92,100,1.28,overcast clouds
181,Longyearbyen,SJ,2021-05-31 16:11:29,78.2186,15.6401,35.44,69,75,10.36,broken clouds
182,Lasa,IT,2021-05-31 16:15:13,46.6166,10.7002,68.74,53,27,4.03,scattered clouds
183,Hasaki,JP,2021-05-31 16:12:14,35.7333,140.8333,61.29,73,88,7.18,moderate rain
184,Eganville,CA,2021-05-31 16:15:13,45.5334,-77.0994,71.02,37,52,1.72,broken clouds
185,San Quintin,MX,2021-05-31 16:15:14,30.4833,-115.95,62.96,69,42,5.12,scattered clouds
186,Chilliwack,CA,2021-05-31 16:15:14,49.1747,-121.9443,66.78,69,100,0.58,overcast clouds
187,Talnakh,RU,2021-05-31 16:11:48,69.4865,88.3972,32.54,91,100,7.02,overcast clouds
188,Oudtshoorn,ZA,2021-05-31 16:15:15,-33.5907,22.2014,53.96,65,96,5.1,overcast clouds
189,Nikolskoye,RU,2021-05-31 16:12:08,59.7035,30.7861,55.78,64,100,6.15,light rain
190,Tias,ES,2021-05-31 16:15:15,28.9611,-13.645,73.08,53,40,16.11,scattered clouds
191,Pingliang,CN,2021-05-31 16:15:15,35.5392,106.6861,62.46,53,100,4.16,overcast clouds
192,Barrow,US,2021-05-31 16:12:10,71.2906,-156.7887,28.42,74,90,10.36,overcast clouds
193,Jiayuguan,CN,2021-05-31 16:15:16,39.8167,98.3,68.49,10,0,16.15,clear sky
194,Ilulissat,GL,2021-05-31 16:12:06,69.2167,-51.1,35.62,80,75,6.91,broken clouds
195,Saskylakh,RU,2021-05-31 16:11:50,71.9167,114.0833,47.89,66,76,12.77,broken clouds
196,Santa Quiteria,BR,2021-05-31 16:15:17,-4.3319,-40.1567,94.39,34,35,5.26,scattered clouds
197,Ayan,RU,2021-05-31 16:15:17,56.45,138.1667,38.08,95,90,5.28,overcast clouds
198,Kloulklubed,PW,2021-05-31 16:15:17,7.0419,134.2556,81.1,77,100,16.55,overcast clouds
199,Provideniya,RU,2021-05-31 16:11:48,64.3833,-173.3,38.21,69,94,7.61,overcast clouds
200,Lavumisa,SZ,2021-05-31 16:15:18,-27.31,31.892,65.1,65,88,6.62,overcast clouds
201,Roma,US,2021-05-31 16:15:18,43.2128,-75.4557,67.89,65,1,4.61,clear sky
202,Novobirilyussy,RU,2021-05-31 16:15:19,56.9514,90.6661,48.61,66,44,6.73,scattered clouds
203,Progreso,MX,2021-05-31 16:15:19,21.2833,-89.6667,89.11,60,8,8.05,clear sky
204,Christchurch,NZ,2021-05-31 16:14:04,-43.5333,172.6333,48.99,94,90,4.0,moderate rain
205,Honiara,SB,2021-05-31 16:15:20,-9.4333,159.95,77.38,90,100,4.56,overcast clouds
206,Muroto,JP,2021-05-31 16:15:20,33.2833,134.15,68.67,73,95,3.13,overcast clouds
207,Caravelas,BR,2021-05-31 16:10:36,-17.7125,-39.2481,81.43,63,27,9.31,scattered clouds
208,Northam,GB,2021-05-31 16:15:21,51.0333,-4.2167,70.14,73,55,12.06,broken clouds
209,Umm Kaddadah,SD,2021-05-31 16:15:21,13.6017,26.6876,85.75,35,95,27.89,overcast clouds
210,Wilmington,US,2021-05-31 16:15:11,34.2257,-77.9447,74.97,58,1,9.22,clear sky
211,Honningsvag,NO,2021-05-31 16:15:21,70.9821,25.9704,42.55,87,75,23.02,light intensity drizzle
212,Male,MV,2021-05-31 16:15:22,4.1748,73.5089,83.64,70,100,20.49,overcast clouds
213,Chuy,UY,2021-05-31 16:11:15,-33.6971,-53.4616,61.7,48,22,16.75,few clouds
214,Shulan,CN,2021-05-31 16:15:22,44.4167,126.95,61.16,60,100,8.16,overcast clouds
215,Victoria,HK,2021-05-31 16:10:44,22.2855,114.1577,84.38,88,100,5.99,moderate rain
216,Oussouye,SN,2021-05-31 16:15:23,12.485,-16.5469,95.18,49,100,12.06,overcast clouds
217,Urusha,RU,2021-05-31 16:15:23,54.05,122.9,49.69,89,97,8.39,overcast clouds
218,Haines Junction,CA,2021-05-31 16:13:06,60.7522,-137.5108,46.47,79,100,1.54,overcast clouds
219,Margate,GB,2021-05-31 16:11:08,51.3813,1.3862,73.18,85,0,12.46,clear sky
