City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Anadyr,RU,2021-05-31 02:20:12,64.75,177.4833,59.5,38,0,7.34
153,Kiunga,PG,2021-05-31 02:20:12,-6.1219,141.2906,81.97,70,100,5.14
154,Hermanus,ZA,2021-05-31 02:20:13,-34.4187,19.2345,53.91,71,100,7.83
155,Kargasok,RU,2021-05-31 02:18:18,59.0556,80.8572,69.26,50,92,11.1
156,Xam Nua,LA,2021-05-31 02:20:13,20.4197,104.0439,82.67,59,75,5.55
157,Ribeira Grande,PT,2021-05-31 02:20:13,38.5167,-28.7,63.79,82,100,6.78
158,Mar Del Plata,AR,2021-05-31 02:20:14,-38.0023,-57.5575,51.01,67,0,11.99
159,Zhezkazgan,KZ,2021-05-31 02:20:14,47.8043,67.7144,79.66,36,4,4.59
160,Alta Floresta,BR,2021-05-31 02:20:15,-9.8756,-56.0861,72.61,60,58,2.8
161,Hofn,IS,2021-05-31 02:20:15,64.2539,-15.2082,45.16,85,25,16.22
162,Hong Gai,VN,2021-05-31 02:20:15,20.956,107.0946,93.11,72,100,7.11
163,Paamiut,GL,2021-05-31 02:20:16,61.994,-49.6678,35.51,88,90,12.97
164,Touros,BR,2021-05-31 02:20:16,-5.1989,-35.4608,76.1,89,37,8.32
165,Kahului,US,2021-05-31 02:20:16,20.8947,-156.47,83.97,69,40,11.5
166,Aguazul,CO,2021-05-31 02:20:17,5.1728,-72.5471,73.96,94,100,3.6
167,Tuatapere,NZ,2021-05-31 02:20:17,-46.1333,167.6833,49.82,93,100,5.53
168,Bredasdorp,ZA,2021-05-31 02:20:17,-34.5322,20.0403,49.32,93,100,4.07
169,Boden,SE,2021-05-31 02:20:18,65.8252,21.6886,48.2,73,53,6.35
170,Batemans Bay,AU,2021-05-31 02:20:18,-35.7167,150.1833,67.19,51,0,3.85
171,East London,ZA,2021-05-31 02:16:12,-33.0153,27.9116,55.8,67,100,9.75
